t,x,y,vx_cmd,vy_cmd,wind_x,wind_y,battery_hat,battery_true,mode
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999,0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.998578233428379,0.9998,0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9894718757909278,0.9997,0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9996,0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9995,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9994000000000001,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9993000000000001,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9992000000000001,0
0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9991000000000001,0
0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.9985618247619207,0.9990000000000001,0
0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.9483609410776629,0.9989000000000001,0
1.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.9862584636027436,0.9988000000000001,0
1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9958558192549035,0.9987000000000001,0
1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9723189385764193,0.9986000000000002,0
1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9985000000000002,0
1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9984000000000002,0
1.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.9924815094417653,0.9983000000000002,0
1.7000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.9411845113882321,0.9982000000000002,0
1.8000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.9796948050161295,0.9981000000000002,0
1.9000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.9435500675874229,0.9980000000000002,0
2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.9947981575657489,0.9979000000000002,0
2.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.999356691088966,0.9978000000000002,0
2.2000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9977000000000003,0
2.3000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.9958768158983763,0.9976000000000003,0
2.400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.9983387446874845,0.9975000000000003,0
2.500000000000001,0.031610493187494045,-0.003985217221894878,0.0,0.0,0.31610493187494043,-0.039852172218948774,1.0,0.9967627856762874,0
2.600000000000001,0.06322098637498809,-0.007970434443789755,0.0,0.0,0.31610493187494043,-0.039852172218948774,0.9638901653696914,0.9960255713525745,0
2.700000000000001,0.09483147956248214,-0.011955651665684634,0.0,0.0,0.31610493187494043,-0.039852172218948774,1.0,0.9952883570288616,0
2.800000000000001,0.12644197274997618,-0.01594086888757951,0.0,0.0,0.31610493187494043,-0.039852172218948774,0.9917755688670826,0.9945511427051488,0
2.9000000000000012,0.15805246593747022,-0.019926086109474387,0.0,0.0,0.31610493187494043,-0.039852172218948774,0.9557588091026925,0.9938139283814359,0
3.0000000000000013,0.18966295912496425,-0.023911303331369264,0.0,0.0,0.31610493187494043,-0.039852172218948774,0.9463709311280261,0.993076714057723,0
3.1000000000000014,0.2212734523124583,-0.02789652055326414,0.0,0.0,0.31610493187494043,-0.039852172218948774,0.9667864447973659,0.9923394997340101,0
3.2000000000000015,0.25288394549995236,-0.03188173777515902,0.0,0.0,0.31610493187494043,-0.039852172218948774,0.9785526242384589,0.9916022854102973,0
3.3000000000000016,0.2844944386874464,-0.0358669549970539,0.0,0.0,0.31610493187494043,-0.039852172218948774,0.969123701710687,0.9908650710865844,0
3.4000000000000017,0.31610493187494043,-0.039852172218948774,0.0,0.0,0.31610493187494043,-0.039852172218948774,0.973882564686726,0.9901278567628715,0
3.5000000000000018,0.34771542506243447,-0.04383738944084365,0.0,0.0,0.31610493187494043,-0.039852172218948774,1.0,0.9893906424391586,0
3.600000000000002,0.4488005103996585,0.03491404142751293,0.0,0.0,1.0108508533722402,0.7875143086835658,1.0,0.9867278328604777,0
3.700000000000002,0.5498855957368826,0.11366547229586951,0.0,0.0,1.0108508533722402,0.7875143086835658,0.9933015677725686,0.9840650232817968,0
3.800000000000002,0.6509706810741066,0.1924169031642261,0.0,0.0,1.0108508533722402,0.7875143086835658,0.9869464893309763,0.9814022137031159,0
3.900000000000002,0.7520557664113307,0.27116833403258267,0.0,0.0,1.0108508533722402,0.7875143086835658,0.9758393836388018,0.9787394041244349,0
4.000000000000002,0.8531408517485547,0.34991976490093923,0.0,0.0,1.0108508533722402,0.7875143086835658,0.9718941428878212,0.976076594545754,0
4.100000000000001,0.9542259370857787,0.4286711957692958,0.0,0.0,1.0108508533722402,0.7875143086835658,0.9859068499872905,0.9734137849670731,0
4.200000000000001,1.0553110224230027,0.5074226266376524,0.0,0.0,1.0108508533722402,0.7875143086835658,0.9436343068083868,0.9707509753883922,0
4.300000000000001,1.1563961077602267,0.5861740575060089,0.0,0.0,1.0108508533722402,0.7875143086835658,0.9814773254158243,0.9680881658097112,0
4.4,1.2574811930974508,0.6649254883743655,0.0,0.0,1.0108508533722402,0.7875143086835658,0.9737264150850671,0.9654253562310303,0
4.5,1.3585662784346748,0.7436769192427221,0.0,0.0,1.0108508533722402,0.7875143086835658,0.9878613771703962,0.9627625466523494,0
